machine,station_id,day,cause,minutes
M1,ST1,2025-01-13,Electrical,81
M1,ST1,2025-01-13,Starved,72
M1,ST1,2025-01-13,Quality,19
M1,ST1,2025-01-14,Blocked,630
M1,ST1,2025-01-14,Electrical,100
M1,ST1,2025-01-14,Starved,69
M1,ST1,2025-01-14,Mechanical,43
M1,ST1,2025-01-14,Quality,34
M1,ST1,2025-01-15,Blocked,540
M1,ST1,2025-01-15,Electrical,113
M1,ST1,2025-01-15,Mechanical,111
M1,ST1,2025-01-15,Quality,37
M1,ST1,2025-01-15,Starved,14
M1,ST1,2025-01-16,Blocked,652
M1,ST1,2025-01-16,Mechanical,104
M1,ST1,2025-01-16,Electrical,103
M1,ST1,2025-01-16,Starved,50
M1,ST1,2025-01-16,Changeover,7
M1,ST1,2025-01-17,Blocked,597
M1,ST1,2025-01-17,Electrical,84
M1,ST1,2025-01-17,Mechanical,51
M1,ST1,2025-01-17,Starved,46
M1,ST1,2025-01-17,Changeover,38
M1,ST1,2025-01-18,Blocked,501
M1,ST1,2025-01-18,Mechanical,121
M1,ST1,2025-01-18,Electrical,88
M1,ST1,2025-01-18,Starved,19
M1,ST1,2025-01-19,Blocked,525
M1,ST1,2025-01-19,Mechanical,161
M1,ST1,2025-01-19,Electrical,87
M1,ST1,2025-01-19,Starved,73
M1,ST1,2025-01-19,Quality,66
M1,ST1,2025-01-19,Changeover,38
M1,ST1,2025-01-20,Blocked,639
M1,ST1,2025-01-20,Electrical,132
M1,ST1,2025-01-20,Mechanical,74
M1,ST1,2025-01-20,Starved,66
M1,ST1,2025-01-20,Quality,10
M1,ST1,2025-01-21,Blocked,534
M1,ST1,2025-01-21,Mechanical,142
M1,ST1,2025-01-21,Electrical,96
M1,ST1,2025-01-21,Starved,50
M1,ST1,2025-01-21,Quality,37
M1,ST1,2025-01-22,Blocked,606
M1,ST1,2025-01-22,Electrical,122
M1,ST1,2025-01-22,Mechanical,109
M1,ST1,2025-01-22,Starved,74
M1,ST1,2025-01-23,Blocked,560
M1,ST1,2025-01-23,Mechanical,100
M1,ST1,2025-01-23,Electrical,79
M1,ST1,2025-01-23,Starved,67
M1,ST1,2025-01-23,Changeover,29
M1,ST1,2025-01-24,Blocked,544
M1,ST1,2025-01-24,Mechanical,100
M1,ST1,2025-01-24,Quality,71
M1,ST1,2025-01-24,Starved,59
M1,ST1,2025-01-24,Electrical,34
M1,ST1,2025-01-25,Blocked,722
M1,ST1,2025-01-25,Electrical,77
M1,ST1,2025-01-25,Mechanical,69
M1,ST1,2025-01-25,Starved,17
M1,ST1,2025-01-25,Quality,10
M1,ST1,2025-01-26,Blocked,723
M1,ST1,2025-01-26,Electrical,82
M1,ST1,2025-01-26,Mechanical,76
M1,ST1,2025-01-26,Starved,49
M1,ST1,2025-01-26,Changeover,24
M1,ST1,2025-01-27,Blocked,540
M1,ST1,2025-01-27,Mechanical,95
M1,ST1,2025-01-27,Electrical,94
M1,ST1,2025-01-27,Starved,17
M1,ST1,2025-01-28,Blocked,606
M1,ST1,2025-01-28,Electrical,161
M1,ST1,2025-01-28,Starved,101
M1,ST1,2025-01-28,Mechanical,66
M1,ST1,2025-01-28,Quality,11
M1,ST1,2025-01-29,Blocked,610
M1,ST1,2025-01-29,Electrical,156
M1,ST1,2025-01-29,Mechanical,89
M1,ST1,2025-01-29,Starved,86
M1,ST1,2025-01-30,Blocked,630
M1,ST1,2025-01-30,Mechanical,122
M1,ST1,2025-01-30,Electrical,87
M1,ST1,2025-01-30,Changeover,29
M1,ST1,2025-01-30,Starved,7
M1,ST1,2025-01-31,Blocked,185
M1,ST1,2025-01-31,Changeover,31
M1,ST1,2025-01-31,Starved,18
M1,ST1,2025-01-31,Electrical,17
M1,ST2,2025-01-01,Blocked,253
M1,ST2,2025-01-01,Starved,113
M1,ST2,2025-01-01,Electrical,112
M1,ST2,2025-01-01,Changeover,49
M1,ST2,2025-01-01,Mechanical,18
M1,ST2,2025-01-02,Blocked,644
M1,ST2,2025-01-02,Starved,89
M1,ST2,2025-01-02,Electrical,88
M1,ST2,2025-01-02,Mechanical,86
M1,ST2,2025-01-02,Changeover,49
M1,ST2,2025-01-03,Blocked,529
M1,ST2,2025-01-03,Mechanical,114
M1,ST2,2025-01-03,Electrical,79
M1,ST2,2025-01-03,Starved,74
M1,ST2,2025-01-04,Blocked,521
M1,ST2,2025-01-04,Electrical,99
M1,ST2,2025-01-04,Mechanical,85
M1,ST2,2025-01-04,Starved,55
M1,ST2,2025-01-04,Quality,24
M1,ST2,2025-01-04,Changeover,21
M1,ST2,2025-01-05,Blocked,458
M1,ST2,2025-01-05,Mechanical,120
M1,ST2,2025-01-05,Electrical,95
M1,ST2,2025-01-05,Starved,61
M1,ST2,2025-01-05,Quality,40
M1,ST2,2025-01-05,Changeover,34
M1,ST2,2025-01-06,Blocked,368
M1,ST2,2025-01-06,Starved,197
M1,ST2,2025-01-06,Electrical,157
M1,ST2,2025-01-06,Mechanical,104
M1,ST2,2025-01-07,Blocked,535
M1,ST2,2025-01-07,Electrical,120
M1,ST2,2025-01-07,Starved,97
M1,ST2,2025-01-07,Mechanical,76
M1,ST2,2025-01-07,Changeover,52
M1,ST2,2025-01-08,Blocked,476
M1,ST2,2025-01-08,Starved,166
M1,ST2,2025-01-08,Mechanical,161
M1,ST2,2025-01-08,Electrical,66
M1,ST2,2025-01-08,Changeover,29
M1,ST2,2025-01-08,Quality,14
M1,ST2,2025-01-09,Blocked,590
M1,ST2,2025-01-09,Electrical,114
M1,ST2,2025-01-09,Mechanical,108
M1,ST2,2025-01-09,Starved,78
M1,ST2,2025-01-10,Blocked,504
M1,ST2,2025-01-10,Starved,187
M1,ST2,2025-01-10,Mechanical,91
M1,ST2,2025-01-10,Electrical,59
M1,ST2,2025-01-11,Blocked,269
M1,ST2,2025-01-11,Starved,166
M1,ST2,2025-01-11,Electrical,146
M1,ST2,2025-01-11,Mechanical,118
M1,ST2,2025-01-11,Changeover,64
M1,ST2,2025-01-11,Quality,30
M1,ST2,2025-01-12,Blocked,440
M1,ST2,2025-01-12,Starved,130
M1,ST2,2025-01-12,Electrical,101
M1,ST2,2025-01-12,Mechanical,56
M1,ST2,2025-01-12,Quality,15
M1,ST2,2025-01-13,Blocked,517
M1,ST2,2025-01-13,Mechanical,147
M1,ST2,2025-01-13,Starved,94
M1,ST2,2025-01-13,Changeover,41
M1,ST2,2025-01-13,Electrical,32
M1,ST2,2025-01-14,Blocked,465
M1,ST2,2025-01-14,Starved,179
M1,ST2,2025-01-14,Electrical,115
M1,ST2,2025-01-14,Mechanical,70
M1,ST2,2025-01-14,Quality,43
M1,ST2,2025-01-15,Blocked,452
M1,ST2,2025-01-15,Starved,161
M1,ST2,2025-01-15,Electrical,130
M1,ST2,2025-01-15,Mechanical,75
M1,ST2,2025-01-16,Blocked,558
M1,ST2,2025-01-16,Electrical,132
M1,ST2,2025-01-16,Starved,102
M1,ST2,2025-01-16,Mechanical,99
M1,ST2,2025-01-16,Quality,24
M1,ST2,2025-01-17,Blocked,502
M1,ST2,2025-01-17,Electrical,159
M1,ST2,2025-01-17,Starved,88
M1,ST2,2025-01-17,Mechanical,67
M1,ST2,2025-01-18,Blocked,419
M1,ST2,2025-01-18,Electrical,114
M1,ST2,2025-01-18,Starved,86
M1,ST2,2025-01-18,Mechanical,41
M1,ST2,2025-01-18,Quality,36
M1,ST2,2025-01-18,Changeover,29
M1,ST2,2025-01-19,Blocked,421
M1,ST2,2025-01-19,Starved,199
M1,ST2,2025-01-19,Mechanical,178
M1,ST2,2025-01-19,Electrical,105
M1,ST2,2025-01-19,Changeover,45
M1,ST2,2025-01-20,Blocked,461
M1,ST2,2025-01-20,Starved,195
M1,ST2,2025-01-20,Mechanical,129
M1,ST2,2025-01-20,Electrical,128
M1,ST2,2025-01-21,Blocked,398
M1,ST2,2025-01-21,Starved,202
M1,ST2,2025-01-21,Electrical,146
M1,ST2,2025-01-21,Mechanical,79
M1,ST2,2025-01-21,Quality,35
M1,ST2,2025-01-22,Blocked,608
M1,ST2,2025-01-22,Electrical,101
M1,ST2,2025-01-22,Mechanical,94
M1,ST2,2025-01-22,Starved,89
M1,ST2,2025-01-22,Changeover,23
M1,ST2,2025-01-23,Blocked,409
M1,ST2,2025-01-23,Electrical,161
M1,ST2,2025-01-23,Mechanical,108
M1,ST2,2025-01-23,Starved,106
M1,ST2,2025-01-23,Changeover,45
M1,ST2,2025-01-24,Blocked,527
M1,ST2,2025-01-24,Starved,175
M1,ST2,2025-01-24,Mechanical,64
M1,ST2,2025-01-24,Electrical,42
M1,ST2,2025-01-25,Blocked,560
M1,ST2,2025-01-25,Electrical,145
M1,ST2,2025-01-25,Starved,114
M1,ST2,2025-01-25,Mechanical,51
M1,ST2,2025-01-25,Quality,17
M1,ST2,2025-01-26,Blocked,559
M1,ST2,2025-01-26,Electrical,147
M1,ST2,2025-01-26,Mechanical,130
M1,ST2,2025-01-26,Starved,77
M1,ST2,2025-01-26,Quality,35
M1,ST2,2025-01-27,Blocked,348
M1,ST2,2025-01-27,Electrical,130
M1,ST2,2025-01-27,Starved,104
M1,ST2,2025-01-27,Mechanical,78
M1,ST2,2025-01-27,Changeover,38
M1,ST2,2025-01-27,Quality,36
M1,ST2,2025-01-28,Blocked,497
M1,ST2,2025-01-28,Electrical,179
M1,ST2,2025-01-28,Mechanical,115
M1,ST2,2025-01-28,Starved,108
M1,ST2,2025-01-28,Quality,34
M1,ST2,2025-01-28,Changeover,13
M1,ST2,2025-01-29,Blocked,496
M1,ST2,2025-01-29,Starved,214
M1,ST2,2025-01-29,Mechanical,109
M1,ST2,2025-01-29,Electrical,62
M1,ST2,2025-01-29,Changeover,54
M1,ST2,2025-01-30,Blocked,511
M1,ST2,2025-01-30,Mechanical,127
M1,ST2,2025-01-30,Starved,120
M1,ST2,2025-01-30,Electrical,104
M1,ST2,2025-01-30,Quality,15
M1,ST2,2025-01-31,Blocked,109
M1,ST2,2025-01-31,Electrical,97
M1,ST2,2025-01-31,Starved,43
M1,ST3,2025-01-01,Starved,239
M1,ST3,2025-01-01,Blocked,168
M1,ST3,2025-01-01,Changeover,61
M1,ST3,2025-01-01,Mechanical,43
M1,ST3,2025-01-01,Electrical,21
M1,ST3,2025-01-01,Quality,8
M1,ST3,2025-01-02,Blocked,530
M1,ST3,2025-01-02,Starved,221
M1,ST3,2025-01-02,Mechanical,109
M1,ST3,2025-01-02,Electrical,83
M1,ST3,2025-01-02,Quality,8
M1,ST3,2025-01-03,Blocked,377
M1,ST3,2025-01-03,Starved,246
M1,ST3,2025-01-03,Electrical,125
M1,ST3,2025-01-03,Mechanical,45
M1,ST3,2025-01-04,Blocked,419
M1,ST3,2025-01-04,Starved,126
M1,ST3,2025-01-04,Electrical,110
M1,ST3,2025-01-04,Mechanical,95
M1,ST3,2025-01-04,Quality,40
M1,ST3,2025-01-04,Changeover,20
M1,ST3,2025-01-05,Blocked,291
M1,ST3,2025-01-05,Starved,256
M1,ST3,2025-01-05,Mechanical,119
M1,ST3,2025-01-05,Electrical,63
M1,ST3,2025-01-05,Changeover,41
M1,ST3,2025-01-05,Quality,35
M1,ST3,2025-01-06,Blocked,303
M1,ST3,2025-01-06,Starved,297
M1,ST3,2025-01-06,Electrical,104
M1,ST3,2025-01-06,Mechanical,78
M1,ST3,2025-01-06,Quality,33
M1,ST3,2025-01-06,Changeover,11
M1,ST3,2025-01-07,Blocked,426
M1,ST3,2025-01-07,Starved,171
M1,ST3,2025-01-07,Mechanical,119
M1,ST3,2025-01-07,Electrical,84
M1,ST3,2025-01-07,Quality,59
M1,ST3,2025-01-07,Changeover,21
M1,ST3,2025-01-08,Starved,372
M1,ST3,2025-01-08,Blocked,299
M1,ST3,2025-01-08,Electrical,134
M1,ST3,2025-01-08,Mechanical,105
M1,ST3,2025-01-09,Blocked,535
M1,ST3,2025-01-09,Starved,215
M1,ST3,2025-01-09,Electrical,76
M1,ST3,2025-01-09,Mechanical,63
M1,ST3,2025-01-10,Blocked,364
M1,ST3,2025-01-10,Starved,287
M1,ST3,2025-01-10,Mechanical,110
M1,ST3,2025-01-10,Electrical,82
M1,ST3,2025-01-11,Blocked,358
M1,ST3,2025-01-11,Starved,320
M1,ST3,2025-01-11,Electrical,54
M1,ST3,2025-01-11,Mechanical,54
M1,ST3,2025-01-12,Blocked,360
M1,ST3,2025-01-12,Starved,217
M1,ST3,2025-01-12,Mechanical,97
M1,ST3,2025-01-12,Electrical,73
M1,ST3,2025-01-13,Blocked,437
M1,ST3,2025-01-13,Starved,212
M1,ST3,2025-01-13,Electrical,80
M1,ST3,2025-01-13,Mechanical,70
M1,ST3,2025-01-13,Changeover,34
M1,ST3,2025-01-14,Starved,320
M1,ST3,2025-01-14,Blocked,293
M1,ST3,2025-01-14,Electrical,119
M1,ST3,2025-01-14,Mechanical,108
M1,ST3,2025-01-14,Changeover,32
M1,ST3,2025-01-15,Starved,299
M1,ST3,2025-01-15,Blocked,281
M1,ST3,2025-01-15,Mechanical,108
M1,ST3,2025-01-15,Electrical,81
M1,ST3,2025-01-15,Changeover,58
M1,ST3,2025-01-15,Quality,6
M1,ST3,2025-01-16,Blocked,443
M1,ST3,2025-01-16,Starved,234
M1,ST3,2025-01-16,Mechanical,152
M1,ST3,2025-01-16,Electrical,85
M1,ST3,2025-01-17,Blocked,346
M1,ST3,2025-01-17,Starved,158
M1,ST3,2025-01-17,Electrical,135
M1,ST3,2025-01-17,Mechanical,102
M1,ST3,2025-01-17,Changeover,37
M1,ST3,2025-01-18,Blocked,388
M1,ST3,2025-01-18,Starved,223
M1,ST3,2025-01-18,Mechanical,57
M1,ST3,2025-01-18,Electrical,56
M1,ST3,2025-01-18,Changeover,27
M1,ST3,2025-01-18,Quality,16
M1,ST3,2025-01-19,Starved,431
M1,ST3,2025-01-19,Blocked,233
M1,ST3,2025-01-19,Mechanical,126
M1,ST3,2025-01-19,Electrical,77
M1,ST3,2025-01-19,Quality,55
M1,ST3,2025-01-19,Changeover,27
M1,ST3,2025-01-20,Starved,349
M1,ST3,2025-01-20,Blocked,298
M1,ST3,2025-01-20,Electrical,131
M1,ST3,2025-01-20,Mechanical,129
M1,ST3,2025-01-21,Starved,334
M1,ST3,2025-01-21,Blocked,288
M1,ST3,2025-01-21,Electrical,98
M1,ST3,2025-01-21,Mechanical,78
M1,ST3,2025-01-21,Changeover,59
M1,ST3,2025-01-22,Blocked,367
M1,ST3,2025-01-22,Starved,287
M1,ST3,2025-01-22,Mechanical,155
M1,ST3,2025-01-22,Quality,82
M1,ST3,2025-01-22,Electrical,24
M1,ST3,2025-01-23,Blocked,335
M1,ST3,2025-01-23,Starved,284
M1,ST3,2025-01-23,Mechanical,101
M1,ST3,2025-01-23,Electrical,90
M1,ST3,2025-01-23,Changeover,20
M1,ST3,2025-01-24,Blocked,369
M1,ST3,2025-01-24,Starved,219
M1,ST3,2025-01-24,Mechanical,130
M1,ST3,2025-01-24,Electrical,90
M1,ST3,2025-01-25,Blocked,343
M1,ST3,2025-01-25,Starved,308
M1,ST3,2025-01-25,Electrical,115
M1,ST3,2025-01-25,Mechanical,78
M1,ST3,2025-01-25,Quality,36
M1,ST3,2025-01-26,Blocked,491
M1,ST3,2025-01-26,Starved,269
M1,ST3,2025-01-26,Mechanical,72
M1,ST3,2025-01-26,Electrical,56
M1,ST3,2025-01-26,Changeover,43
M1,ST3,2025-01-26,Quality,15
M1,ST3,2025-01-27,Blocked,283
M1,ST3,2025-01-27,Starved,265
M1,ST3,2025-01-27,Electrical,111
M1,ST3,2025-01-27,Mechanical,78
M1,ST3,2025-01-28,Blocked,480
M1,ST3,2025-01-28,Starved,232
M1,ST3,2025-01-28,Electrical,95
M1,ST3,2025-01-28,Mechanical,90
M1,ST3,2025-01-28,Changeover,35
M1,ST3,2025-01-28,Quality,7
M1,ST3,2025-01-29,Blocked,375
M1,ST3,2025-01-29,Starved,237
M1,ST3,2025-01-29,Electrical,144
M1,ST3,2025-01-29,Mechanical,143
M1,ST3,2025-01-29,Quality,27
M1,ST3,2025-01-29,Changeover,9
M1,ST3,2025-01-30,Blocked,394
M1,ST3,2025-01-30,Starved,218
M1,ST3,2025-01-30,Mechanical,120
M1,ST3,2025-01-30,Electrical,110
M1,ST3,2025-01-30,Quality,30
M1,ST3,2025-01-30,Changeover,10
M1,ST3,2025-01-31,Starved,105
M1,ST3,2025-01-31,Blocked,60
M1,ST3,2025-01-31,Mechanical,51
M1,ST3,2025-01-31,Quality,31
M1,ST4,2025-01-01,Starved,277
M1,ST4,2025-01-01,Blocked,193
M1,ST4,2025-01-01,Electrical,38
M1,ST4,2025-01-01,Mechanical,29
M1,ST4,2025-01-02,Blocked,429
M1,ST4,2025-01-02,Starved,278
M1,ST4,2025-01-02,Mechanical,125
M1,ST4,2025-01-02,Electrical,63
M1,ST4,2025-01-02,Quality,30
M1,ST4,2025-01-02,Changeover,19
M1,ST4,2025-01-03,Blocked,412
M1,ST4,2025-01-03,Starved,189
M1,ST4,2025-01-03,Mechanical,105
M1,ST4,2025-01-03,Electrical,48
M1,ST4,2025-01-03,Quality,40
M1,ST4,2025-01-04,Blocked,396
M1,ST4,2025-01-04,Starved,171
M1,ST4,2025-01-04,Electrical,96
M1,ST4,2025-01-04,Mechanical,77
M1,ST4,2025-01-04,Quality,47
M1,ST4,2025-01-04,Changeover,7
M1,ST4,2025-01-05,Starved,412
M1,ST4,2025-01-05,Blocked,214
M1,ST4,2025-01-05,Mechanical,135
M1,ST4,2025-01-05,Electrical,37
M1,ST4,2025-01-06,Starved,347
M1,ST4,2025-01-06,Blocked,277
M1,ST4,2025-01-06,Mechanical,119
M1,ST4,2025-01-06,Electrical,35
M1,ST4,2025-01-06,Quality,31
M1,ST4,2025-01-06,Changeover,10
M1,ST4,2025-01-07,Blocked,411
M1,ST4,2025-01-07,Starved,308
M1,ST4,2025-01-07,Mechanical,100
M1,ST4,2025-01-07,Electrical,48
M1,ST4,2025-01-07,Changeover,17
M1,ST4,2025-01-08,Blocked,383
M1,ST4,2025-01-08,Starved,370
M1,ST4,2025-01-08,Electrical,81
M1,ST4,2025-01-08,Mechanical,47
M1,ST4,2025-01-09,Blocked,481
M1,ST4,2025-01-09,Starved,238
M1,ST4,2025-01-09,Mechanical,137
M1,ST4,2025-01-09,Electrical,40
M1,ST4,2025-01-09,Changeover,10
M1,ST4,2025-01-10,Starved,347
M1,ST4,2025-01-10,Blocked,317
M1,ST4,2025-01-10,Mechanical,135
M1,ST4,2025-01-10,Electrical,37
M1,ST4,2025-01-11,Starved,300
M1,ST4,2025-01-11,Blocked,283
M1,ST4,2025-01-11,Quality,71
M1,ST4,2025-01-11,Mechanical,56
M1,ST4,2025-01-11,Electrical,48
M1,ST4,2025-01-11,Changeover,28
M1,ST4,2025-01-12,Blocked,317
M1,ST4,2025-01-12,Starved,249
M1,ST4,2025-01-12,Mechanical,68
M1,ST4,2025-01-12,Electrical,57
M1,ST4,2025-01-12,Changeover,52
M1,ST4,2025-01-13,Blocked,352
M1,ST4,2025-01-13,Starved,307
M1,ST4,2025-01-13,Mechanical,95
M1,ST4,2025-01-13,Electrical,49
M1,ST4,2025-01-13,Quality,30
M1,ST4,2025-01-14,Starved,386
M1,ST4,2025-01-14,Blocked,314
M1,ST4,2025-01-14,Mechanical,84
M1,ST4,2025-01-14,Electrical,62
M1,ST4,2025-01-14,Changeover,27
M1,ST4,2025-01-15,Starved,381
M1,ST4,2025-01-15,Blocked,232
M1,ST4,2025-01-15,Mechanical,126
M1,ST4,2025-01-15,Quality,58
M1,ST4,2025-01-15,Electrical,34
M1,ST4,2025-01-16,Starved,407
M1,ST4,2025-01-16,Blocked,299
M1,ST4,2025-01-16,Mechanical,111
M1,ST4,2025-01-16,Electrical,68
M1,ST4,2025-01-16,Changeover,35
M1,ST4,2025-01-17,Blocked,313
M1,ST4,2025-01-17,Starved,266
M1,ST4,2025-01-17,Mechanical,102
M1,ST4,2025-01-17,Electrical,56
M1,ST4,2025-01-17,Quality,33
M1,ST4,2025-01-18,Starved,306
M1,ST4,2025-01-18,Blocked,301
M1,ST4,2025-01-18,Mechanical,112
M1,ST4,2025-01-18,Electrical,44
M1,ST4,2025-01-19,Starved,529
M1,ST4,2025-01-19,Blocked,196
M1,ST4,2025-01-19,Mechanical,109
M1,ST4,2025-01-19,Quality,64
M1,ST4,2025-01-19,Electrical,30
M1,ST4,2025-01-19,Changeover,14
M1,ST4,2025-01-20,Starved,406
M1,ST4,2025-01-20,Blocked,285
M1,ST4,2025-01-20,Mechanical,134
M1,ST4,2025-01-20,Electrical,64
M1,ST4,2025-01-20,Quality,18
M1,ST4,2025-01-21,Starved,444
M1,ST4,2025-01-21,Blocked,219
M1,ST4,2025-01-21,Mechanical,110
M1,ST4,2025-01-21,Changeover,65
M1,ST4,2025-01-21,Quality,31
M1,ST4,2025-01-21,Electrical,19
M1,ST4,2025-01-22,Starved,398
M1,ST4,2025-01-22,Blocked,322
M1,ST4,2025-01-22,Mechanical,79
M1,ST4,2025-01-22,Electrical,29
M1,ST4,2025-01-22,Changeover,28
M1,ST4,2025-01-22,Quality,14
M1,ST4,2025-01-23,Starved,354
M1,ST4,2025-01-23,Blocked,289
M1,ST4,2025-01-23,Electrical,102
M1,ST4,2025-01-23,Mechanical,78
M1,ST4,2025-01-24,Starved,320
M1,ST4,2025-01-24,Blocked,307
M1,ST4,2025-01-24,Mechanical,88
M1,ST4,2025-01-24,Electrical,38
M1,ST4,2025-01-24,Changeover,34
M1,ST4,2025-01-24,Quality,14
M1,ST4,2025-01-25,Starved,389
M1,ST4,2025-01-25,Blocked,365
M1,ST4,2025-01-25,Mechanical,76
M1,ST4,2025-01-25,Electrical,40
M1,ST4,2025-01-26,Blocked,446
M1,ST4,2025-01-26,Starved,352
M1,ST4,2025-01-26,Mechanical,88
M1,ST4,2025-01-26,Electrical,62
M1,ST4,2025-01-27,Starved,383
M1,ST4,2025-01-27,Blocked,203
M1,ST4,2025-01-27,Mechanical,70
M1,ST4,2025-01-27,Electrical,54
M1,ST4,2025-01-27,Changeover,29
M1,ST4,2025-01-28,Starved,387
M1,ST4,2025-01-28,Blocked,309
M1,ST4,2025-01-28,Mechanical,155
M1,ST4,2025-01-28,Electrical,52
M1,ST4,2025-01-28,Quality,27
M1,ST4,2025-01-28,Changeover,11
M1,ST4,2025-01-29,Starved,408
M1,ST4,2025-01-29,Blocked,402
M1,ST4,2025-01-29,Mechanical,93
M1,ST4,2025-01-29,Electrical,56
M1,ST4,2025-01-30,Starved,366
M1,ST4,2025-01-30,Blocked,355
M1,ST4,2025-01-30,Mechanical,79
M1,ST4,2025-01-30,Electrical,50
M1,ST4,2025-01-31,Starved,166
M1,ST4,2025-01-31,Blocked,83
M1,ST5,2025-01-01,Starved,278
M1,ST5,2025-01-01,Blocked,162
M1,ST5,2025-01-01,Mechanical,44
M1,ST5,2025-01-01,Electrical,35
M1,ST5,2025-01-01,Changeover,17
M1,ST5,2025-01-02,Starved,412
M1,ST5,2025-01-02,Blocked,266
M1,ST5,2025-01-02,Electrical,156
M1,ST5,2025-01-02,Mechanical,76
M1,ST5,2025-01-02,Changeover,28
M1,ST5,2025-01-03,Starved,238
M1,ST5,2025-01-03,Electrical,176
M1,ST5,2025-01-03,Mechanical,156
M1,ST5,2025-01-03,Changeover,104
M1,ST5,2025-01-03,Blocked,102
M1,ST5,2025-01-03,Quality,20
M1,ST5,2025-01-04,Starved,278
M1,ST5,2025-01-04,Blocked,272
M1,ST5,2025-01-04,Electrical,174
M1,ST5,2025-01-04,Mechanical,67
M1,ST5,2025-01-05,Starved,391
M1,ST5,2025-01-05,Blocked,207
M1,ST5,2025-01-05,Mechanical,145
M1,ST5,2025-01-05,Electrical,33
M1,ST5,2025-01-05,Changeover,14
M1,ST5,2025-01-06,Starved,385
M1,ST5,2025-01-06,Blocked,165
M1,ST5,2025-01-06,Mechanical,96
M1,ST5,2025-01-06,Quality,89
M1,ST5,2025-01-06,Electrical,85
M1,ST5,2025-01-07,Starved,402
M1,ST5,2025-01-07,Electrical,168
M1,ST5,2025-01-07,Blocked,162
M1,ST5,2025-01-07,Mechanical,130
M1,ST5,2025-01-07,Quality,11
M1,ST5,2025-01-07,Changeover,8
M1,ST5,2025-01-08,Starved,427
M1,ST5,2025-01-08,Blocked,235
M1,ST5,2025-01-08,Electrical,130
M1,ST5,2025-01-08,Mechanical,83
M1,ST5,2025-01-08,Quality,25
M1,ST5,2025-01-09,Starved,309
M1,ST5,2025-01-09,Blocked,302
M1,ST5,2025-01-09,Electrical,89
M1,ST5,2025-01-09,Mechanical,70
M1,ST5,2025-01-09,Changeover,60
M1,ST5,2025-01-09,Quality,52
M1,ST5,2025-01-10,Starved,359
M1,ST5,2025-01-10,Blocked,225
M1,ST5,2025-01-10,Mechanical,129
M1,ST5,2025-01-10,Electrical,97
M1,ST5,2025-01-10,Changeover,24
M1,ST5,2025-01-11,Starved,363
M1,ST5,2025-01-11,Blocked,221
M1,ST5,2025-01-11,Electrical,134
M1,ST5,2025-01-11,Mechanical,75
M1,ST5,2025-01-11,Changeover,31
M1,ST5,2025-01-12,Starved,274
M1,ST5,2025-01-12,Blocked,160
