machine,station_id,station_type,day,cause,trigger_sensor,stop_reason_detail,start,end,minutes
M1,ST1,Robotics,2025-01-13,Mechanical,vibration,,2025-01-13 09:51:00,2025-01-13 10:22:00,32
M1,ST1,Robotics,2025-01-13,Mechanical,vibration,,2025-01-13 18:11:00,2025-01-13 18:42:00,32
M1,ST1,Robotics,2025-01-13,Mechanical,air_pressure,,2025-01-13 20:56:00,2025-01-13 21:13:00,18
M1,ST1,Robotics,2025-01-14,Mechanical,vibration,,2025-01-14 01:03:00,2025-01-14 01:14:00,12
M1,ST1,Robotics,2025-01-14,Mechanical,vibration,,2025-01-14 10:42:00,2025-01-14 10:58:00,17
M1,ST1,Robotics,2025-01-14,Mechanical,air_pressure,,2025-01-14 14:46:00,2025-01-14 14:59:00,14
M1,ST1,Robotics,2025-01-15,Mechanical,air_pressure,,2025-01-15 06:57:00,2025-01-15 07:34:00,38
M1,ST1,Robotics,2025-01-15,Mechanical,vibration,,2025-01-15 12:17:00,2025-01-15 12:54:00,38
M1,ST1,Robotics,2025-01-15,Mechanical,air_pressure,,2025-01-15 19:48:00,2025-01-15 19:57:00,10
M1,ST1,Robotics,2025-01-15,Mechanical,vibration,,2025-01-15 21:21:00,2025-01-15 21:45:00,25
M1,ST1,Robotics,2025-01-16,Mechanical,vibration,,2025-01-16 06:21:00,2025-01-16 06:41:00,21
M1,ST1,Robotics,2025-01-16,Mechanical,air_pressure,,2025-01-16 09:40:00,2025-01-16 09:56:00,17
M1,ST1,Robotics,2025-01-16,Mechanical,vibration,,2025-01-16 15:00:00,2025-01-16 15:23:00,24
M1,ST1,Robotics,2025-01-16,Mechanical,air_pressure,,2025-01-16 22:18:00,2025-01-16 22:43:00,26
M1,ST1,Robotics,2025-01-16,Mechanical,vibration,,2025-01-16 23:25:00,2025-01-16 23:40:00,16
M1,ST1,Robotics,2025-01-17,Mechanical,vibration,,2025-01-17 11:43:00,2025-01-17 12:13:00,31
M1,ST1,Robotics,2025-01-17,Mechanical,air_pressure,,2025-01-17 13:02:00,2025-01-17 13:11:00,10
M1,ST1,Robotics,2025-01-17,Mechanical,vibration,,2025-01-17 23:24:00,2025-01-17 23:33:00,10
M1,ST1,Robotics,2025-01-18,Mechanical,air_pressure,,2025-01-18 02:45:00,2025-01-18 03:00:00,16
M1,ST1,Robotics,2025-01-18,Mechanical,vibration,,2025-01-18 06:32:00,2025-01-18 07:01:00,30
M1,ST1,Robotics,2025-01-18,Mechanical,air_pressure,,2025-01-18 15:09:00,2025-01-18 15:55:00,47
M1,ST1,Robotics,2025-01-18,Mechanical,vibration,,2025-01-18 17:41:00,2025-01-18 18:08:00,28
M1,ST1,Robotics,2025-01-19,Mechanical,vibration,,2025-01-19 01:32:00,2025-01-19 01:55:00,24
M1,ST1,Robotics,2025-01-19,Mechanical,air_pressure,,2025-01-19 02:25:00,2025-01-19 02:58:00,34
M1,ST1,Robotics,2025-01-19,Mechanical,vibration,,2025-01-19 09:20:00,2025-01-19 09:51:00,32
M1,ST1,Robotics,2025-01-19,Mechanical,air_pressure,,2025-01-19 13:40:00,2025-01-19 14:28:00,49
M1,ST1,Robotics,2025-01-19,Mechanical,vibration,,2025-01-19 21:07:00,2025-01-19 21:28:00,22
M1,ST1,Robotics,2025-01-20,Mechanical,vibration,,2025-01-20 08:05:00,2025-01-20 08:22:00,18
M1,ST1,Robotics,2025-01-20,Mechanical,vibration,,2025-01-20 16:31:00,2025-01-20 16:58:00,28
M1,ST1,Robotics,2025-01-20,Mechanical,air_pressure,,2025-01-20 18:49:00,2025-01-20 19:16:00,28
M1,ST1,Robotics,2025-01-21,Mechanical,vibration,,2025-01-21 01:48:00,2025-01-21 02:23:00,36
M1,ST1,Robotics,2025-01-21,Mechanical,air_pressure,,2025-01-21 05:22:00,2025-01-21 06:01:00,40
M1,ST1,Robotics,2025-01-21,Mechanical,vibration,,2025-01-21 09:51:00,2025-01-21 10:13:00,23
M1,ST1,Robotics,2025-01-21,Mechanical,vibration,,2025-01-21 18:03:00,2025-01-21 18:33:00,31
M1,ST1,Robotics,2025-01-21,Mechanical,air_pressure,,2025-01-21 20:06:00,2025-01-21 20:17:00,12
M1,ST1,Robotics,2025-01-22,Mechanical,vibration,,2025-01-22 03:12:00,2025-01-22 03:24:00,13
M1,ST1,Robotics,2025-01-22,Mechanical,vibration,,2025-01-22 11:50:00,2025-01-22 12:02:00,13
M1,ST1,Robotics,2025-01-22,Mechanical,air_pressure,,2025-01-22 13:15:00,2025-01-22 13:36:00,22
M1,ST1,Robotics,2025-01-22,Mechanical,vibration,,2025-01-22 20:59:00,2025-01-22 21:20:00,22
M1,ST1,Robotics,2025-01-22,Mechanical,air_pressure,,2025-01-22 23:21:00,2025-01-22 23:59:00,39
M1,ST1,Robotics,2025-01-23,Mechanical,vibration,,2025-01-23 08:06:00,2025-01-23 08:54:00,49
M1,ST1,Robotics,2025-01-23,Mechanical,air_pressure,,2025-01-23 13:07:00,2025-01-23 13:35:00,29
M1,ST1,Robotics,2025-01-23,Mechanical,vibration,,2025-01-23 14:58:00,2025-01-23 15:19:00,22
M1,ST1,Robotics,2025-01-24,Mechanical,air_pressure,,2025-01-24 00:21:00,2025-01-24 00:45:00,25
M1,ST1,Robotics,2025-01-24,Mechanical,vibration,,2025-01-24 02:37:00,2025-01-24 03:04:00,28
M1,ST1,Robotics,2025-01-24,Mechanical,air_pressure,,2025-01-24 10:50:00,2025-01-24 11:18:00,29
M1,ST1,Robotics,2025-01-24,Mechanical,vibration,,2025-01-24 21:35:00,2025-01-24 21:52:00,18
M1,ST1,Robotics,2025-01-25,Mechanical,vibration,,2025-01-25 08:02:00,2025-01-25 08:15:00,14
M1,ST1,Robotics,2025-01-25,Mechanical,air_pressure,,2025-01-25 15:33:00,2025-01-25 15:57:00,25
M1,ST1,Robotics,2025-01-25,Mechanical,vibration,,2025-01-25 16:14:00,2025-01-25 16:43:00,30
M1,ST1,Robotics,2025-01-26,Mechanical,vibration,,2025-01-26 02:12:00,2025-01-26 02:20:00,9
M1,ST1,Robotics,2025-01-26,Mechanical,air_pressure,,2025-01-26 03:19:00,2025-01-26 03:44:00,26
M1,ST1,Robotics,2025-01-26,Mechanical,vibration,,2025-01-26 14:06:00,2025-01-26 14:11:00,6
M1,ST1,Robotics,2025-01-26,Mechanical,air_pressure,,2025-01-26 18:04:00,2025-01-26 18:26:00,23
M1,ST1,Robotics,2025-01-26,Mechanical,vibration,,2025-01-26 23:00:00,2025-01-26 23:11:00,12
M1,ST1,Robotics,2025-01-27,Mechanical,air_pressure,,2025-01-27 05:43:00,2025-01-27 05:54:00,12
M1,ST1,Robotics,2025-01-27,Mechanical,vibration,,2025-01-27 15:16:00,2025-01-27 15:44:00,29
M1,ST1,Robotics,2025-01-27,Mechanical,air_pressure,,2025-01-27 19:21:00,2025-01-27 19:57:00,37
M1,ST1,Robotics,2025-01-27,Mechanical,vibration,,2025-01-27 23:49:00,2025-01-28 00:05:00,17
M1,ST1,Robotics,2025-01-28,Mechanical,vibration,,2025-01-28 07:41:00,2025-01-28 07:49:00,9
M1,ST1,Robotics,2025-01-28,Mechanical,air_pressure,,2025-01-28 08:01:00,2025-01-28 08:07:00,7
M1,ST1,Robotics,2025-01-28,Mechanical,vibration,,2025-01-28 17:35:00,2025-01-28 17:48:00,14
M1,ST1,Robotics,2025-01-28,Mechanical,air_pressure,,2025-01-28 18:20:00,2025-01-28 18:55:00,36
M1,ST1,Robotics,2025-01-29,Mechanical,vibration,,2025-01-29 03:24:00,2025-01-29 04:03:00,40
M1,ST1,Robotics,2025-01-29,Mechanical,air_pressure,,2025-01-29 09:16:00,2025-01-29 09:39:00,24
M1,ST1,Robotics,2025-01-29,Mechanical,vibration,,2025-01-29 13:43:00,2025-01-29 14:07:00,25
M1,ST1,Robotics,2025-01-30,Mechanical,vibration,,2025-01-30 02:16:00,2025-01-30 02:40:00,25
M1,ST1,Robotics,2025-01-30,Mechanical,air_pressure,,2025-01-30 09:34:00,2025-01-30 09:58:00,25
M1,ST1,Robotics,2025-01-30,Mechanical,vibration,,2025-01-30 10:59:00,2025-01-30 11:32:00,34
M1,ST1,Robotics,2025-01-30,Mechanical,air_pressure,,2025-01-30 22:07:00,2025-01-30 22:44:00,38
M1,ST1,Robotics,2025-01-01,Electrical,temperature,,2025-01-01 17:31:00,2025-01-01 17:48:00,18
M1,ST1,Robotics,2025-01-01,Electrical,energy_consumption,,2025-01-01 20:46:00,2025-01-01 20:57:00,12
M1,ST1,Robotics,2025-01-02,Electrical,temperature,,2025-01-02 07:52:00,2025-01-02 08:28:00,37
M1,ST1,Robotics,2025-01-02,Electrical,energy_consumption,,2025-01-02 09:53:00,2025-01-02 10:39:00,47
M1,ST1,Robotics,2025-01-02,Electrical,temperature,,2025-01-02 20:04:00,2025-01-02 20:11:00,8
M1,ST1,Robotics,2025-01-03,Electrical,energy_consumption,,2025-01-03 01:13:00,2025-01-03 01:33:00,21
M1,ST1,Robotics,2025-01-03,Electrical,temperature,,2025-01-03 04:51:00,2025-01-03 05:26:00,36
M1,ST1,Robotics,2025-01-03,Electrical,energy_consumption,,2025-01-03 15:31:00,2025-01-03 16:05:00,35
M1,ST1,Robotics,2025-01-03,Electrical,temperature,,2025-01-03 18:08:00,2025-01-03 19:00:00,53
M1,ST1,Robotics,2025-01-04,Electrical,energy_consumption,,2025-01-04 05:32:00,2025-01-04 05:54:00,23
M1,ST1,Robotics,2025-01-04,Electrical,temperature,,2025-01-04 06:17:00,2025-01-04 06:29:00,13
M1,ST1,Robotics,2025-01-04,Electrical,energy_consumption,,2025-01-04 18:14:00,2025-01-04 18:26:00,13
M1,ST1,Robotics,2025-01-04,Electrical,temperature,,2025-01-04 20:29:00,2025-01-04 20:58:00,30
M1,ST1,Robotics,2025-01-05,Electrical,temperature,,2025-01-05 06:58:00,2025-01-05 07:26:00,29
M1,ST1,Robotics,2025-01-05,Electrical,energy_consumption,,2025-01-05 09:30:00,2025-01-05 09:47:00,18
M1,ST1,Robotics,2025-01-05,Electrical,temperature,,2025-01-05 20:09:00,2025-01-05 20:48:00,40
M1,ST1,Robotics,2025-01-06,Electrical,temperature,,2025-01-06 06:49:00,2025-01-06 07:15:00,27
M1,ST1,Robotics,2025-01-06,Electrical,energy_consumption,,2025-01-06 07:30:00,2025-01-06 08:00:00,31
M1,ST1,Robotics,2025-01-06,Electrical,temperature,,2025-01-06 16:10:00,2025-01-06 16:49:00,40
M1,ST1,Robotics,2025-01-06,Electrical,energy_consumption,,2025-01-06 22:10:00,2025-01-06 22:49:00,40
M1,ST1,Robotics,2025-01-07,Electrical,temperature,,2025-01-07 01:27:00,2025-01-07 01:39:00,13
M1,ST1,Robotics,2025-01-07,Electrical,temperature,,2025-01-07 12:30:00,2025-01-07 12:44:00,15
M1,ST1,Robotics,2025-01-07,Electrical,energy_consumption,,2025-01-07 14:18:00,2025-01-07 14:54:00,37
M1,ST1,Robotics,2025-01-07,Electrical,temperature,,2025-01-07 23:37:00,2025-01-07 23:45:00,9
M1,ST1,Robotics,2025-01-08,Electrical,energy_consumption,,2025-01-08 04:47:00,2025-01-08 05:25:00,39
M1,ST1,Robotics,2025-01-08,Electrical,temperature,,2025-01-08 13:08:00,2025-01-08 13:43:00,36
M1,ST1,Robotics,2025-01-08,Electrical,energy_consumption,,2025-01-08 19:53:00,2025-01-08 20:31:00,39
M1,ST1,Robotics,2025-01-09,Electrical,temperature,,2025-01-09 02:49:00,2025-01-09 03:13:00,25
M1,ST1,Robotics,2025-01-09,Electrical,energy_consumption,,2025-01-09 04:40:00,2025-01-09 05:00:00,21
M1,ST1,Robotics,2025-01-09,Electrical,temperature,,2025-01-09 12:18:00,2025-01-09 12:25:00,8
M1,ST1,Robotics,2025-01-09,Electrical,energy_consumption,,2025-01-09 21:20:00,2025-01-09 22:20:00,61
M1,ST1,Robotics,2025-01-10,Electrical,temperature,,2025-01-10 01:07:00,2025-01-10 01:30:00,24
M1,ST1,Robotics,2025-01-10,Electrical,energy_consumption,,2025-01-10 09:50:00,2025-01-10 10:01:00,12
M1,ST1,Robotics,2025-01-10,Electrical,temperature,,2025-01-10 13:45:00,2025-01-10 14:21:00,37
M1,ST1,Robotics,2025-01-10,Electrical,energy_consumption,,2025-01-10 21:30:00,2025-01-10 22:07:00,38
M1,ST1,Robotics,2025-01-10,Electrical,temperature,,2025-01-10 22:42:00,2025-01-10 23:18:00,37
M1,ST1,Robotics,2025-01-11,Electrical,temperature,,2025-01-11 08:56:00,2025-01-11 09:22:00,27
M1,ST1,Robotics,2025-01-11,Electrical,energy_consumption,,2025-01-11 12:38:00,2025-01-11 13:08:00,31
M1,ST1,Robotics,2025-01-11,Electrical,temperature,,2025-01-11 18:59:00,2025-01-11 19:14:00,16
M1,ST1,Robotics,2025-01-11,Electrical,energy_consumption,,2025-01-11 22:15:00,2025-01-11 22:54:00,40
M1,ST1,Robotics,2025-01-12,Electrical,temperature,,2025-01-12 06:28:00,2025-01-12 06:57:00,30
M1,ST1,Robotics,2025-01-12,Electrical,energy_consumption,,2025-01-12 12:00:00,2025-01-12 12:33:00,34
M1,ST1,Robotics,2025-01-12,Electrical,temperature,,2025-01-12 17:00:00,2025-01-12 17:23:00,24
M1,ST1,Robotics,2025-01-12,Electrical,energy_consumption,,2025-01-12 22:20:00,2025-01-12 22:51:00,32
M1,ST1,Robotics,2025-01-13,Electrical,temperature,,2025-01-13 04:55:00,2025-01-13 05:32:00,38
M1,ST1,Robotics,2025-01-13,Electrical,energy_consumption,,2025-01-13 12:39:00,2025-01-13 13:06:00,28
M1,ST1,Robotics,2025-01-13,Electrical,temperature,,2025-01-13 19:50:00,2025-01-13 20:04:00,15
M1,ST1,Robotics,2025-01-14,Electrical,energy_consumption,,2025-01-14 01:25:00,2025-01-14 01:49:00,25
M1,ST1,Robotics,2025-01-14,Electrical,temperature,,2025-01-14 06:42:00,2025-01-14 07:10:00,29
M1,ST1,Robotics,2025-01-14,Electrical,temperature,,2025-01-14 15:05:00,2025-01-14 15:36:00,32
M1,ST1,Robotics,2025-01-14,Electrical,energy_consumption,,2025-01-14 17:27:00,2025-01-14 17:40:00,14
M1,ST1,Robotics,2025-01-15,Electrical,temperature,,2025-01-15 01:06:00,2025-01-15 01:25:00,20
M1,ST1,Robotics,2025-01-15,Electrical,energy_consumption,,2025-01-15 02:58:00,2025-01-15 03:36:00,39
M1,ST1,Robotics,2025-01-15,Electrical,temperature,,2025-01-15 10:30:00,2025-01-15 10:49:00,20
M1,ST1,Robotics,2025-01-15,Electrical,temperature,,2025-01-15 19:29:00,2025-01-15 19:43:00,15
M1,ST1,Robotics,2025-01-15,Electrical,energy_consumption,,2025-01-15 20:18:00,2025-01-15 20:36:00,19
M1,ST1,Robotics,2025-01-16,Electrical,temperature,,2025-01-16 08:18:00,2025-01-16 08:50:00,33
M1,ST1,Robotics,2025-01-16,Electrical,energy_consumption,,2025-01-16 12:05:00,2025-01-16 12:34:00,30
M1,ST1,Robotics,2025-01-16,Electrical,temperature,,2025-01-16 18:11:00,2025-01-16 18:50:00,40
M1,ST1,Robotics,2025-01-17,Electrical,temperature,,2025-01-17 03:06:00,2025-01-17 03:36:00,31
M1,ST1,Robotics,2025-01-17,Electrical,energy_consumption,,2025-01-17 13:41:00,2025-01-17 14:14:00,34
M1,ST1,Robotics,2025-01-17,Electrical,temperature,,2025-01-17 15:37:00,2025-01-17 15:55:00,19
M1,ST1,Robotics,2025-01-18,Electrical,energy_consumption,,2025-01-18 02:08:00,2025-01-18 02:28:00,21
M1,ST1,Robotics,2025-01-18,Electrical,energy_consumption,,2025-01-18 10:41:00,2025-01-18 10:47:00,7
M1,ST1,Robotics,2025-01-18,Electrical,temperature,,2025-01-18 11:32:00,2025-01-18 11:47:00,16
M1,ST1,Robotics,2025-01-18,Electrical,temperature,,2025-01-18 21:30:00,2025-01-18 22:06:00,37
M1,ST1,Robotics,2025-01-18,Electrical,energy_consumption,,2025-01-18 23:45:00,2025-01-18 23:51:00,7
M1,ST1,Robotics,2025-01-19,Electrical,temperature,,2025-01-19 07:48:00,2025-01-19 07:59:00,12
M1,ST1,Robotics,2025-01-19,Electrical,energy_consumption,,2025-01-19 10:51:00,2025-01-19 11:17:00,27
M1,ST1,Robotics,2025-01-19,Electrical,temperature,,2025-01-19 19:33:00,2025-01-19 20:03:00,31
M1,ST1,Robotics,2025-01-19,Electrical,energy_consumption,,2025-01-19 20:50:00,2025-01-19 21:06:00,17
M1,ST1,Robotics,2025-01-20,Electrical,temperature,,2025-01-20 04:13:00,2025-01-20 04:47:00,35
M1,ST1,Robotics,2025-01-20,Electrical,energy_consumption,,2025-01-20 06:46:00,2025-01-20 07:15:00,30
M1,ST1,Robotics,2025-01-20,Electrical,temperature,,2025-01-20 15:06:00,2025-01-20 15:35:00,30
M1,ST1,Robotics,2025-01-20,Electrical,energy_consumption,,2025-01-20 20:44:00,2025-01-20 21:20:00,37
M1,ST1,Robotics,2025-01-21,Electrical,temperature,,2025-01-21 02:28:00,2025-01-21 02:56:00,29
M1,ST1,Robotics,2025-01-21,Electrical,temperature,,2025-01-21 09:14:00,2025-01-21 09:25:00,12
M1,ST1,Robotics,2025-01-21,Electrical,energy_consumption,,2025-01-21 13:25:00,2025-01-21 13:42:00,18
M1,ST1,Robotics,2025-01-21,Electrical,temperature,,2025-01-21 21:35:00,2025-01-21 22:11:00,37
M1,ST1,Robotics,2025-01-22,Electrical,energy_consumption,,2025-01-22 00:08:00,2025-01-22 00:39:00,32
M1,ST1,Robotics,2025-01-22,Electrical,energy_consumption,,2025-01-22 10:47:00,2025-01-22 11:26:00,40
M1,ST1,Robotics,2025-01-22,Electrical,temperature,,2025-01-22 12:03:00,2025-01-22 12:35:00,33
M1,ST1,Robotics,2025-01-22,Electrical,temperature,,2025-01-22 19:16:00,2025-01-22 19:25:00,10
M1,ST1,Robotics,2025-01-22,Electrical,energy_consumption,,2025-01-22 22:06:00,2025-01-22 22:12:00,7
M1,ST1,Robotics,2025-01-23,Electrical,temperature,,2025-01-23 06:28:00,2025-01-23 06:58:00,31
M1,ST1,Robotics,2025-01-23,Electrical,temperature,,2025-01-23 16:35:00,2025-01-23 16:48:00,14
M1,ST1,Robotics,2025-01-23,Electrical,energy_consumption,,2025-01-23 19:07:00,2025-01-23 19:40:00,34
M1,ST1,Robotics,2025-01-24,Electrical,temperature,,2025-01-24 06:16:00,2025-01-24 06:22:00,7
M1,ST1,Robotics,2025-01-24,Electrical,energy_consumption,,2025-01-24 11:21:00,2025-01-24 11:34:00,14
M1,ST1,Robotics,2025-01-24,Electrical,temperature,,2025-01-24 12:52:00,2025-01-24 13:04:00,13
M1,ST1,Robotics,2025-01-25,Electrical,temperature,,2025-01-25 02:43:00,2025-01-25 02:58:00,16
M1,ST1,Robotics,2025-01-25,Electrical,energy_consumption,,2025-01-25 10:13:00,2025-01-25 10:41:00,29
M1,ST1,Robotics,2025-01-25,Electrical,temperature,,2025-01-25 14:02:00,2025-01-25 14:25:00,24
M1,ST1,Robotics,2025-01-25,Electrical,energy_consumption,,2025-01-25 23:47:00,2025-01-25 23:54:00,8
M1,ST1,Robotics,2025-01-26,Electrical,temperature,,2025-01-26 03:55:00,2025-01-26 04:08:00,14
M1,ST1,Robotics,2025-01-26,Electrical,energy_consumption,,2025-01-26 12:33:00,2025-01-26 12:46:00,14
M1,ST1,Robotics,2025-01-26,Electrical,temperature,,2025-01-26 16:19:00,2025-01-26 16:47:00,29
M1,ST1,Robotics,2025-01-26,Electrical,energy_consumption,,2025-01-26 23:46:00,2025-01-27 00:10:00,25
M1,ST1,Robotics,2025-01-27,Electrical,temperature,,2025-01-27 04:19:00,2025-01-27 04:54:00,36
M1,ST1,Robotics,2025-01-27,Electrical,energy_consumption,,2025-01-27 12:06:00,2025-01-27 12:40:00,35
M1,ST1,Robotics,2025-01-27,Electrical,temperature,,2025-01-27 13:14:00,2025-01-27 13:26:00,13
M1,ST1,Robotics,2025-01-27,Electrical,temperature,,2025-01-27 22:31:00,2025-01-27 22:40:00,10
M1,ST1,Robotics,2025-01-28,Electrical,energy_consumption,,2025-01-28 00:33:00,2025-01-28 01:10:00,38
M1,ST1,Robotics,2025-01-28,Electrical,temperature,,2025-01-28 05:44:00,2025-01-28 06:17:00,34
M1,ST1,Robotics,2025-01-28,Electrical,energy_consumption,,2025-01-28 10:36:00,2025-01-28 10:44:00,9
M1,ST1,Robotics,2025-01-28,Electrical,temperature,,2025-01-28 16:52:00,2025-01-28 17:34:00,43
M1,ST1,Robotics,2025-01-28,Electrical,energy_consumption,,2025-01-28 19:57:00,2025-01-28 20:33:00,37
M1,ST1,Robotics,2025-01-29,Electrical,temperature,,2025-01-29 04:51:00,2025-01-29 05:22:00,32
M1,ST1,Robotics,2025-01-29,Electrical,energy_consumption,,2025-01-29 07:57:00,2025-01-29 08:33:00,37
M1,ST1,Robotics,2025-01-29,Electrical,temperature,,2025-01-29 12:03:00,2025-01-29 12:40:00,38
M1,ST1,Robotics,2025-01-29,Electrical,temperature,,2025-01-29 20:00:00,2025-01-29 20:11:00,12
M1,ST1,Robotics,2025-01-29,Electrical,energy_consumption,,2025-01-29 22:14:00,2025-01-29 22:50:00,37
M1,ST1,Robotics,2025-01-30,Electrical,temperature,,2025-01-30 06:09:00,2025-01-30 06:48:00,40
M1,ST1,Robotics,2025-01-30,Electrical,temperature,,2025-01-30 17:10:00,2025-01-30 17:30:00,21
M1,ST1,Robotics,2025-01-30,Electrical,energy_consumption,,2025-01-30 21:23:00,2025-01-30 21:48:00,26
M1,ST1,Robotics,2025-01-31,Electrical,temperature,,2025-01-31 01:55:00,2025-01-31 02:11:00,17
M1,ST1,Robotics,2025-01-05,Changeover,,,2025-01-05 13:57:00,2025-01-05 14:09:00,13
M1,ST1,Robotics,2025-01-08,Changeover,,,2025-01-08 00:25:00,2025-01-08 00:43:00,19
M1,ST1,Robotics,2025-01-09,Changeover,,,2025-01-09 05:06:00,2025-01-09 05:17:00,12
M1,ST1,Robotics,2025-01-10,Changeover,,,2025-01-10 00:34:00,2025-01-10 00:59:00,26
M1,ST1,Robotics,2025-01-10,Changeover,,,2025-01-10 15:13:00,2025-01-10 15:39:00,27
M1,ST1,Robotics,2025-01-11,Changeover,,,2025-01-11 07:46:00,2025-01-11 08:16:00,31
