machine,station_id,station_type,day,shift,planned_min,running_min,total_units,good_units,availability,performance,quality,oee
M1,ST6,Cooling_System,2025-01-02,A,480,115,628,626,0.23958333333333334,0.9101449275362319,0.9968152866242038,0.21736111111111112
M1,ST7,Inspection,2025-01-02,A,480,114,637,633,0.2375,0.9312865497076024,0.9937205651491365,0.21979166666666664
M1,ST8,Packaging,2025-01-02,A,480,115,652,651,0.23958333333333334,0.9449275362318841,0.9984662576687117,0.22604166666666667
M1,ST1,Robotics,2025-01-02,B,480,192,1154,1151,0.4,1.0,0.9974003466204506,0.39896013864818025
M1,ST2,CNC,2025-01-02,B,480,193,1150,1146,0.40208333333333335,0.9930915371329879,0.9965217391304347,0.3979166666666667
M1,ST3,Robotics,2025-01-02,B,480,196,1145,1143,0.4083333333333333,0.9736394557823129,0.9982532751091703,0.396875
M1,ST4,Assembly,2025-01-02,B,480,201,1140,1138,0.41875,0.945273631840796,0.9982456140350877,0.39513888888888893
M1,ST5,Welding,2025-01-02,B,480,206,1151,1142,0.42916666666666664,0.9312297734627831,0.9921807124239791,0.3965277777777777
M1,ST6,Cooling_System,2025-01-02,B,480,204,1161,1158,0.425,0.9485294117647058,0.9974160206718347,0.4020833333333333
M1,ST7,Inspection,2025-01-02,B,480,203,1167,1161,0.42291666666666666,0.958128078817734,0.9948586118251928,0.40312499999999996
M1,ST8,Packaging,2025-01-02,B,480,201,1167,1161,0.41875,0.9676616915422885,0.9948586118251928,0.40312499999999996
M1,ST1,Robotics,2025-01-02,C,480,189,1140,1139,0.39375,1.0,0.9991228070175439,0.3934046052631579
M1,ST2,CNC,2025-01-02,C,480,192,1142,1141,0.4,0.9913194444444444,0.999124343257443,0.3961805555555556
M1,ST3,Robotics,2025-01-02,C,480,190,1127,1122,0.3958333333333333,0.9885964912280701,0.9955634427684117,0.3895833333333333
M1,ST4,Assembly,2025-01-02,C,480,187,1112,1107,0.38958333333333334,0.9910873440285205,0.9955035971223022,0.384375
M1,ST5,Welding,2025-01-02,C,480,186,1082,1078,0.3875,0.9695340501792115,0.9963031423290203,0.37430555555555556
M1,ST6,Cooling_System,2025-01-02,C,480,190,1052,1050,0.3958333333333333,0.9228070175438596,0.9980988593155894,0.3645833333333333
M1,ST7,Inspection,2025-01-02,C,480,191,1022,1017,0.39791666666666664,0.8917975567190227,0.9951076320939335,0.353125
M1,ST8,Packaging,2025-01-02,C,480,186,1007,1002,0.3875,0.9023297491039427,0.9950347567030785,0.3479166666666667
M1,ST1,Robotics,2025-01-03,A,480,266,1587,1585,0.5541666666666667,0.9943609022556391,0.9987397605545053,0.5503472222222222
M1,ST2,CNC,2025-01-03,A,480,265,1593,1588,0.5520833333333334,1.0,0.9968612680477087,0.5503504917346725
M1,ST3,Robotics,2025-01-03,A,480,267,1600,1596,0.55625,0.9987515605493134,0.9975,0.5541666666666667
M1,ST4,Assembly,2025-01-03,A,480,267,1602,1593,0.55625,1.0,0.9943820224719101,0.553125
M1,ST5,Welding,2025-01-03,A,480,265,1604,1599,0.5520833333333334,1.0,0.9968827930174564,0.5503623753117207
M1,ST6,Cooling_System,2025-01-03,A,480,268,1602,1599,0.5583333333333333,0.996268656716418,0.99812734082397,0.5552083333333333
M1,ST7,Inspection,2025-01-03,A,480,268,1602,1594,0.5583333333333333,0.996268656716418,0.9950062421972534,0.5534722222222223
M1,ST8,Packaging,2025-01-03,A,480,264,1601,1600,0.55,1.0,0.9993753903810119,0.5496564647095565
M1,ST1,Robotics,2025-01-03,B,480,170,953,948,0.3541666666666667,0.9343137254901961,0.9947534102833159,0.3291666666666667
M1,ST2,CNC,2025-01-03,B,480,167,952,947,0.34791666666666665,0.9500998003992016,0.9947478991596639,0.32881944444444444
M1,ST3,Robotics,2025-01-03,B,480,168,950,948,0.35,0.9424603174603174,0.9978947368421053,0.32916666666666666
M1,ST4,Assembly,2025-01-03,B,480,167,948,941,0.34791666666666665,0.9461077844311377,0.9926160337552743,0.3267361111111111
M1,ST5,Welding,2025-01-03,B,480,166,945,941,0.3458333333333333,0.9487951807228916,0.9957671957671957,0.3267361111111111
M1,ST6,Cooling_System,2025-01-03,B,480,168,937,930,0.35,0.9295634920634921,0.9925293489861259,0.3229166666666667
M1,ST7,Inspection,2025-01-03,B,480,169,937,934,0.35208333333333336,0.9240631163708086,0.9967982924226254,0.32430555555555557
M1,ST8,Packaging,2025-01-03,B,480,169,938,935,0.35208333333333336,0.9250493096646942,0.9968017057569296,0.3246527777777778
M1,ST1,Robotics,2025-01-03,C,480,228,1368,1362,0.475,1.0,0.9956140350877193,0.47291666666666665
M1,ST2,CNC,2025-01-03,C,480,226,1363,1358,0.4708333333333333,1.0,0.9963316214233309,0.4691061384201516
M1,ST3,Robotics,2025-01-03,C,480,226,1358,1355,0.4708333333333333,1.0,0.9977908689248896,0.4697932007854688
M1,ST4,Assembly,2025-01-03,C,480,226,1358,1353,0.4708333333333333,1.0,0.9963181148748159,0.4690997790868925
M1,ST5,Welding,2025-01-03,C,480,227,1359,1357,0.47291666666666665,0.9977973568281938,0.9985283296541575,0.47118055555555555
M1,ST6,Cooling_System,2025-01-03,C,480,227,1384,1380,0.47291666666666665,1.0,0.9971098265895953,0.47154985549132944
M1,ST7,Inspection,2025-01-03,C,480,215,1298,1290,0.4479166666666667,1.0,0.9938366718027735,0.4451560092449923
M1,ST8,Packaging,2025-01-03,C,480,228,1384,1377,0.475,1.0,0.994942196531792,0.4725975433526012
M1,ST1,Robotics,2025-01-04,A,480,218,1275,1271,0.45416666666666666,0.9747706422018348,0.9968627450980392,0.44131944444444443
M1,ST2,CNC,2025-01-04,A,480,217,1260,1254,0.45208333333333334,0.967741935483871,0.9952380952380953,0.4354166666666667
M1,ST3,Robotics,2025-01-04,A,480,218,1259,1256,0.45416666666666666,0.9625382262996942,0.9976171564733916,0.4361111111111111
M1,ST4,Assembly,2025-01-04,A,480,220,1254,1251,0.4583333333333333,0.95,0.9976076555023924,0.43437499999999996
M1,ST5,Welding,2025-01-04,A,480,217,1255,1254,0.45208333333333334,0.9639016897081413,0.999203187250996,0.4354166666666667
M1,ST6,Cooling_System,2025-01-04,A,480,216,1261,1257,0.45,0.9729938271604939,0.9968279143536876,0.4364583333333334
M1,ST7,Inspection,2025-01-04,A,480,214,1269,1266,0.44583333333333336,0.9883177570093458,0.9976359338061466,0.4395833333333333
M1,ST8,Packaging,2025-01-04,A,480,212,1277,1276,0.44166666666666665,1.0,0.9992169146436961,0.44132080396763246
M1,ST1,Robotics,2025-01-04,B,480,215,1180,1178,0.4479166666666667,0.9147286821705426,0.9983050847457627,0.40902777777777777
M1,ST2,CNC,2025-01-04,B,480,217,1180,1172,0.45208333333333334,0.9062980030721967,0.9932203389830508,0.4069444444444445
M1,ST3,Robotics,2025-01-04,B,480,219,1180,1177,0.45625,0.898021308980213,0.997457627118644,0.40868055555555555
M1,ST4,Assembly,2025-01-04,B,480,224,1180,1179,0.4666666666666667,0.8779761904761905,0.9991525423728813,0.409375
M1,ST5,Welding,2025-01-04,B,480,226,1189,1186,0.4708333333333333,0.8768436578171092,0.9974768713204374,0.41180555555555554
M1,ST6,Cooling_System,2025-01-04,B,480,226,1188,1186,0.4708333333333333,0.8761061946902655,0.9983164983164983,0.4118055555555556
M1,ST7,Inspection,2025-01-04,B,480,206,1051,1045,0.42916666666666664,0.8503236245954693,0.994291151284491,0.3628472222222222
M1,ST8,Packaging,2025-01-04,B,480,224,1188,1185,0.4666666666666667,0.8839285714285714,0.9974747474747475,0.4114583333333333
M1,ST1,Robotics,2025-01-04,C,480,175,1009,1007,0.3645833333333333,0.960952380952381,0.998017839444995,0.34965277777777776
M1,ST2,CNC,2025-01-04,C,480,179,1032,1026,0.3729166666666667,0.9608938547486033,0.9941860465116279,0.35625
M1,ST3,Robotics,2025-01-04,C,480,172,1039,1036,0.35833333333333334,1.0,0.9971126082771896,0.3572986846326596
M1,ST4,Assembly,2025-01-04,C,480,182,1059,1057,0.37916666666666665,0.9697802197802198,0.9981114258734656,0.36701388888888886
M1,ST5,Welding,2025-01-04,C,480,187,1060,1054,0.38958333333333334,0.9447415329768271,0.9943396226415094,0.3659722222222222
M1,ST6,Cooling_System,2025-01-04,C,480,185,1040,1039,0.3854166666666667,0.9369369369369369,0.9990384615384615,0.3607638888888889
M1,ST7,Inspection,2025-01-04,C,480,182,1026,1020,0.37916666666666665,0.9395604395604396,0.9941520467836257,0.35416666666666663
M1,ST8,Packaging,2025-01-04,C,480,188,1039,1035,0.39166666666666666,0.9210992907801419,0.9961501443695862,0.359375
M1,ST1,Robotics,2025-01-05,A,480,199,1022,1013,0.41458333333333336,0.8559463986599665,0.9911937377690803,0.35173611111111114
M1,ST2,CNC,2025-01-05,A,480,202,1037,1034,0.42083333333333334,0.8556105610561056,0.9971070395371263,0.3590277777777778
M1,ST3,Robotics,2025-01-05,A,480,202,1029,1024,0.42083333333333334,0.849009900990099,0.9951409135082604,0.35555555555555557
M1,ST4,Assembly,2025-01-05,A,480,203,1027,1023,0.42291666666666666,0.8431855500821018,0.9961051606621227,0.35520833333333335
M1,ST5,Welding,2025-01-05,A,480,203,1018,1014,0.42291666666666666,0.8357963875205254,0.9960707269155207,0.3520833333333333
M1,ST6,Cooling_System,2025-01-05,A,480,203,1010,1007,0.42291666666666666,0.8292282430213465,0.997029702970297,0.34965277777777776
M1,ST7,Inspection,2025-01-05,A,480,205,1002,999,0.4270833333333333,0.8146341463414634,0.9970059880239521,0.346875
M1,ST8,Packaging,2025-01-05,A,480,206,994,991,0.42916666666666664,0.8042071197411004,0.9969818913480886,0.3440972222222222
M1,ST1,Robotics,2025-01-05,B,480,200,1119,1114,0.4166666666666667,0.9325,0.9955317247542449,0.38680555555555557
M1,ST2,CNC,2025-01-05,B,480,202,1104,1101,0.42083333333333334,0.9108910891089109,0.9972826086956522,0.3822916666666667
M1,ST3,Robotics,2025-01-05,B,480,205,1097,1092,0.4270833333333333,0.891869918699187,0.9954421148587056,0.37916666666666665
M1,ST4,Assembly,2025-01-05,B,480,210,1106,1105,0.4375,0.8777777777777778,0.9990958408679927,0.3836805555555555
M1,ST5,Welding,2025-01-05,B,480,212,1115,1112,0.44166666666666665,0.8765723270440252,0.9973094170403587,0.3861111111111111
M1,ST6,Cooling_System,2025-01-05,B,480,212,1123,1121,0.44166666666666665,0.8828616352201258,0.9982190560997328,0.3892361111111111
M1,ST7,Inspection,2025-01-05,B,480,211,1131,1128,0.4395833333333333,0.8933649289099526,0.9973474801061007,0.39166666666666666
M1,ST8,Packaging,2025-01-05,B,480,211,1139,1135,0.4395833333333333,0.8996840442338072,0.9964881474978051,0.3940972222222222
M1,ST1,Robotics,2025-01-05,C,480,238,1311,1307,0.49583333333333335,0.9180672268907563,0.9969488939740656,0.45381944444444444
M1,ST2,CNC,2025-01-05,C,480,233,1318,1311,0.48541666666666666,0.9427753934191703,0.9946889226100152,0.4552083333333333
M1,ST3,Robotics,2025-01-05,C,480,233,1342,1337,0.48541666666666666,0.9599427753934192,0.996274217585693,0.4642361111111111
M1,ST4,Assembly,2025-01-05,C,480,234,1335,1330,0.4875,0.9508547008547008,0.9962546816479401,0.4618055555555555
M1,ST5,Welding,2025-01-05,C,480,241,1339,1334,0.5020833333333333,0.926002766251729,0.9962658700522778,0.46319444444444446
M1,ST6,Cooling_System,2025-01-05,C,480,244,1354,1349,0.5083333333333333,0.924863387978142,0.9963072378138847,0.4684027777777777
M1,ST7,Inspection,2025-01-05,C,480,249,1354,1353,0.51875,0.9062918340026773,0.9992614475627769,0.46979166666666666
M1,ST8,Packaging,2025-01-05,C,480,250,1354,1351,0.5208333333333334,0.9026666666666666,0.9977843426883308,0.4690972222222222
M1,ST1,Robotics,2025-01-06,A,480,231,1309,1303,0.48125,0.9444444444444444,0.9954163483575248,0.45243055555555556
M1,ST2,CNC,2025-01-06,A,480,236,1309,1306,0.49166666666666664,0.9244350282485876,0.9977081741787625,0.4534722222222222
M1,ST3,Robotics,2025-01-06,A,480,236,1309,1306,0.49166666666666664,0.9244350282485876,0.9977081741787625,0.4534722222222222
M1,ST4,Assembly,2025-01-06,A,480,238,1309,1308,0.49583333333333335,0.9166666666666666,0.9992360580595875,0.45416666666666666
M1,ST5,Welding,2025-01-06,A,480,243,1324,1322,0.50625,0.9080932784636488,0.9984894259818731,0.45902777777777776
M1,ST6,Cooling_System,2025-01-06,A,480,246,1339,1332,0.5125,0.9071815718157181,0.9947722180731889,0.46249999999999997
M1,ST7,Inspection,2025-01-06,A,480,231,1244,1234,0.48125,0.8975468975468975,0.9919614147909968,0.42847222222222225
M1,ST8,Packaging,2025-01-06,A,480,248,1354,1350,0.5166666666666667,0.9099462365591398,0.9970457902511078,0.46875000000000006
M1,ST1,Robotics,2025-01-06,B,480,180,1072,1071,0.375,0.9925925925925926,0.9990671641791045,0.371875
M1,ST2,CNC,2025-01-06,B,480,181,1072,1068,0.3770833333333333,0.9871086556169429,0.996268656716418,0.37083333333333335
M1,ST3,Robotics,2025-01-06,B,480,181,1072,1070,0.3770833333333333,0.9871086556169429,0.9981343283582089,0.3715277777777778
M1,ST4,Assembly,2025-01-06,B,480,183,1072,1062,0.38125,0.97632058287796,0.9906716417910447,0.36874999999999997
M1,ST5,Welding,2025-01-06,B,480,179,1057,1056,0.3729166666666667,0.984171322160149,0.9990539262062441,0.3666666666666667
M1,ST6,Cooling_System,2025-01-06,B,480,176,1042,1039,0.36666666666666664,0.9867424242424242,0.9971209213051824,0.36076388888888883
M1,ST7,Inspection,2025-01-06,B,480,156,928,921,0.325,0.9914529914529915,0.9924568965517241,0.3197916666666667
M1,ST8,Packaging,2025-01-06,B,480,173,1042,1038,0.36041666666666666,1.0,0.9961612284069098,0.3590331094049904
M1,ST1,Robotics,2025-01-06,C,480,210,1288,1284,0.4375,1.0,0.9968944099378882,0.4361413043478261
M1,ST2,CNC,2025-01-06,C,480,208,1273,1270,0.43333333333333335,1.0,0.997643362136685,0.43231212359256355
M1,ST3,Robotics,2025-01-06,C,480,207,1258,1254,0.43125,1.0,0.9968203497615262,0.4298787758346582
M1,ST4,Assembly,2025-01-06,C,480,205,1243,1238,0.4270833333333333,1.0,0.99597747385358,0.4253653794582998
M1,ST5,Welding,2025-01-06,C,480,201,1228,1222,0.41875,1.0,0.995114006514658,0.416703990228013
M1,ST6,Cooling_System,2025-01-06,C,480,200,1213,1206,0.4166666666666667,1.0,0.9942291838417148,0.41426215993404786
M1,ST7,Inspection,2025-01-06,C,480,196,1183,1177,0.4083333333333333,1.0,0.9949281487743026,0.4062623274161735
M1,ST8,Packaging,2025-01-06,C,480,194,1168,1164,0.4041666666666667,1.0,0.9965753424657534,0.40278253424657534
M1,ST1,Robotics,2025-01-07,A,480,202,1086,1080,0.42083333333333334,0.8960396039603961,0.994475138121547,0.375
M1,ST2,CNC,2025-01-07,A,480,200,1086,1078,0.4166666666666667,0.905,0.992633517495396,0.3743055555555556
M1,ST3,Robotics,2025-01-07,A,480,200,1086,1079,0.4166666666666667,0.905,0.9935543278084714,0.37465277777777783
M1,ST4,Assembly,2025-01-07,A,480,201,1101,1097,0.41875,0.9129353233830846,0.9963669391462306,0.3809027777777778
M1,ST5,Welding,2025-01-07,A,480,200,1103,1095,0.4166666666666667,0.9191666666666667,0.9927470534904805,0.38020833333333337
M1,ST6,Cooling_System,2025-01-07,A,480,196,1103,1100,0.4083333333333333,0.9379251700680272,0.9972801450589301,0.3819444444444444
M1,ST7,Inspection,2025-01-07,A,480,199,1103,1100,0.41458333333333336,0.923785594639866,0.9972801450589301,0.3819444444444445
M1,ST8,Packaging,2025-01-07,A,480,198,1103,1097,0.4125,0.9284511784511784,0.9945602901178604,0.38090277777777776
M1,ST1,Robotics,2025-01-07,B,480,174,1061,1057,0.3625,1.0,0.9962299717247879,0.3611333647502356
M1,ST2,CNC,2025-01-07,B,480,176,1066,1065,0.36666666666666664,1.0,0.99906191369606,0.3663227016885553
M1,ST3,Robotics,2025-01-07,B,480,177,1071,1066,0.36875,1.0,0.9953314659197012,0.36702847805788985
M1,ST4,Assembly,2025-01-07,B,480,177,1061,1055,0.36875,0.9990583804143126,0.9943449575871819,0.3663194444444445
M1,ST5,Welding,2025-01-07,B,480,177,1051,1043,0.36875,0.9896421845574388,0.9923882017126546,0.3621527777777778
M1,ST6,Cooling_System,2025-01-07,B,480,181,1051,1048,0.3770833333333333,0.9677716390423573,0.9971455756422455,0.3638888888888889
M1,ST7,Inspection,2025-01-07,B,480,184,1051,1049,0.38333333333333336,0.9519927536231884,0.9980970504281637,0.3642361111111111
M1,ST8,Packaging,2025-01-07,B,480,181,1051,1048,0.3770833333333333,0.9677716390423573,0.9971455756422455,0.3638888888888889
M1,ST1,Robotics,2025-01-07,C,480,163,977,977,0.33958333333333335,0.9989775051124744,1.0,0.3392361111111111
M1,ST2,CNC,2025-01-07,C,480,168,986,983,0.35,0.9781746031746031,0.9969574036511156,0.3413194444444444
M1,ST3,Robotics,2025-01-07,C,480,168,996,995,0.35,0.9880952380952381,0.998995983935743,0.3454861111111111
M1,ST4,Assembly,2025-01-07,C,480,168,1005,1000,0.35,0.9970238095238095,0.9950248756218906,0.3472222222222222
M1,ST5,Welding,2025-01-07,C,480,173,1028,1023,0.36041666666666666,0.9903660886319846,0.995136186770428,0.35520833333333335
M1,ST6,Cooling_System,2025-01-07,C,480,176,1038,1034,0.36666666666666664,0.9829545454545454,0.9961464354527938,0.3590277777777777
M1,ST7,Inspection,2025-01-07,C,480,181,1043,1040,0.3770833333333333,0.9604051565377533,0.99712368168744,0.3611111111111111
M1,ST8,Packaging,2025-01-07,C,480,184,1048,1046,0.38333333333333336,0.9492753623188406,0.9980916030534351,0.3631944444444445
M1,ST1,Robotics,2025-01-08,A,480,205,1112,1108,0.4270833333333333,0.9040650406504065,0.9964028776978417,0.3847222222222222
M1,ST2,CNC,2025-01-08,A,480,203,1105,1098,0.42291666666666666,0.9072249589490968,0.9936651583710407,0.38125
M1,ST3,Robotics,2025-01-08,A,480,200,1104,1100,0.4166666666666667,0.92,0.9963768115942029,0.3819444444444445
M1,ST4,Assembly,2025-01-08,A,480,198,1104,1097,0.4125,0.9292929292929293,0.9936594202898551,0.38090277777777776
M1,ST5,Welding,2025-01-08,A,480,201,1103,1098,0.41875,0.9145936981757877,0.9954669084315503,0.38125000000000003
M1,ST6,Cooling_System,2025-01-08,A,480,196,1102,1101,0.4083333333333333,0.9370748299319728,0.9990925589836661,0.38229166666666664
M1,ST7,Inspection,2025-01-08,A,480,196,1092,1087,0.4083333333333333,0.9285714285714286,0.9954212454212454,0.37743055555555555
M1,ST8,Packaging,2025-01-08,A,480,195,1092,1089,0.40625,0.9333333333333333,0.9972527472527473,0.378125
M1,ST1,Robotics,2025-01-08,B,480,188,1052,1050,0.39166666666666666,0.9326241134751773,0.9980988593155894,0.3645833333333333
M1,ST2,CNC,2025-01-08,B,480,190,1059,1055,0.3958333333333333,0.9289473684210526,0.996222851746931,0.3663194444444444
M1,ST3,Robotics,2025-01-08,B,480,192,1060,1058,0.4,0.9201388888888888,0.9981132075471698,0.36736111111111114
M1,ST4,Assembly,2025-01-08,B,480,199,1060,1052,0.41458333333333336,0.8877721943048577,0.9924528301886792,0.3652777777777778
M1,ST5,Welding,2025-01-08,B,480,197,1061,1055,0.41041666666666665,0.8976311336717429,0.9943449575871819,0.3663194444444445
M1,ST6,Cooling_System,2025-01-08,B,480,203,1062,1056,0.42291666666666666,0.8719211822660099,0.9943502824858758,0.3666666666666667
M1,ST7,Inspection,2025-01-08,B,480,183,953,946,0.38125,0.8679417122040073,0.9926547743966422,0.3284722222222222
M1,ST8,Packaging,2025-01-08,B,480,204,1072,1066,0.425,0.8758169934640523,0.9944029850746269,0.3701388888888889
M1,ST1,Robotics,2025-01-08,C,480,165,1014,1011,0.34375,1.0,0.9970414201183432,0.3427329881656805
M1,ST2,CNC,2025-01-08,C,480,164,1000,1000,0.3416666666666667,1.0,1.0,0.3416666666666667
M1,ST3,Robotics,2025-01-08,C,480,166,985,983,0.3458333333333333,0.9889558232931727,0.9979695431472081,0.34131944444444445
M1,ST4,Assembly,2025-01-08,C,480,170,986,978,0.3541666666666667,0.9666666666666667,0.9918864097363083,0.3395833333333333
M1,ST5,Welding,2025-01-08,C,480,170,986,986,0.3541666666666667,0.9666666666666667,1.0,0.3423611111111111
M1,ST6,Cooling_System,2025-01-08,C,480,173,991,988,0.36041666666666666,0.9547206165703276,0.9969727547931383,0.34305555555555556
M1,ST7,Inspection,2025-01-08,C,480,177,1001,997,0.36875,0.9425612052730696,0.996003996003996,0.34618055555555555
M1,ST8,Packaging,2025-01-08,C,480,177,1011,1006,0.36875,0.9519774011299436,0.9950544015825915,0.3493055555555556
M1,ST1,Robotics,2025-01-09,A,480,191,1098,1095,0.39791666666666664,0.9581151832460733,0.9972677595628415,0.3802083333333333
M1,ST2,CNC,2025-01-09,A,480,189,1097,1089,0.39375,0.9673721340388007,0.9927073837739289,0.378125
M1,ST3,Robotics,2025-01-09,A,480,189,1097,1094,0.39375,0.9673721340388007,0.9972652689152234,0.3798611111111111
M1,ST4,Assembly,2025-01-09,A,480,193,1112,1107,0.40208333333333335,0.9602763385146805,0.9955035971223022,0.384375
M1,ST5,Welding,2025-01-09,A,480,197,1127,1122,0.41041666666666665,0.9534686971235194,0.9955634427684117,0.38958333333333334
M1,ST6,Cooling_System,2025-01-09,A,480,201,1142,1138,0.41875,0.9469320066334992,0.9964973730297724,0.39513888888888893
M1,ST7,Inspection,2025-01-09,A,480,204,1157,1151,0.425,0.9452614379084967,0.9948141745894555,0.39965277777777775
M1,ST8,Packaging,2025-01-09,A,480,205,1172,1168,0.4270833333333333,0.9528455284552846,0.9965870307167235,0.40555555555555556
M1,ST1,Robotics,2025-01-09,B,480,149,847,845,0.3104166666666667,0.9474272930648769,0.9976387249114522,0.2934027777777778
M1,ST2,CNC,2025-01-09,B,480,150,847,843,0.3125,0.9411111111111111,0.9952774498229043,0.29270833333333335
M1,ST3,Robotics,2025-01-09,B,480,149,847,846,0.3104166666666667,0.9474272930648769,0.9988193624557261,0.29375
M1,ST4,Assembly,2025-01-09,B,480,149,847,845,0.3104166666666667,0.9474272930648769,0.9976387249114522,0.2934027777777778
M1,ST5,Welding,2025-01-09,B,480,152,847,842,0.31666666666666665,0.9287280701754386,0.9940968122786304,0.29236111111111107
M1,ST6,Cooling_System,2025-01-09,B,480,154,847,844,0.32083333333333336,0.9166666666666666,0.9964580873671782,0.29305555555555557
M1,ST7,Inspection,2025-01-09,B,480,157,847,844,0.32708333333333334,0.8991507430997877,0.9964580873671782,0.29305555555555557
M1,ST8,Packaging,2025-01-09,B,480,158,847,845,0.32916666666666666,0.8934599156118144,0.9976387249114522,0.2934027777777778
M1,ST1,Robotics,2025-01-09,C,480,178,974,972,0.37083333333333335,0.9119850187265918,0.997946611909651,0.3375
M1,ST2,CNC,2025-01-09,C,480,182,982,976,0.37916666666666665,0.8992673992673993,0.9938900203665988,0.3388888888888889
M1,ST3,Robotics,2025-01-09,C,480,185,996,992,0.3854166666666667,0.8972972972972973,0.9959839357429718,0.3444444444444445
M1,ST4,Assembly,2025-01-09,C,480,184,981,974,0.38333333333333336,0.8885869565217391,0.9928644240570846,0.33819444444444446
M1,ST5,Welding,2025-01-09,C,480,181,965,961,0.3770833333333333,0.8885819521178637,0.9958549222797928,0.33368055555555554
M1,ST6,Cooling_System,2025-01-09,C,480,180,949,947,0.375,0.8787037037037037,0.9978925184404637,0.32881944444444444
M1,ST7,Inspection,2025-01-09,C,480,180,927,925,0.375,0.8583333333333333,0.9978425026968716,0.3211805555555555
M1,ST8,Packaging,2025-01-09,C,480,176,912,909,0.36666666666666664,0.8636363636363636,0.9967105263157895,0.315625
M1,ST1,Robotics,2025-01-10,A,480,191,1115,1111,0.39791666666666664,0.9729493891797557,0.9964125560538116,0.3857638888888889
M1,ST2,CNC,2025-01-10,A,480,194,1125,1124,0.4041666666666667,0.9664948453608248,0.9991111111111111,0.3902777777777778
M1,ST3,Robotics,2025-01-10,A,480,196,1125,1123,0.4083333333333333,0.9566326530612245,0.9982222222222222,0.38993055555555556
